full_name,age,city,district,speciality,desired_course,years_of_experience,graduation_year
Козлов Дмитрий Андреевич,23,Нижний Новгород,Канавинский,менеджер,HR-менеджмент,1,2024
Ковалёв Дмитрий Андреевич,23,Екатеринбург,Чкаловский,учитель,Педагогика,1,2024
Козлов Дмитрий Андреевич,24,Нижний Новгород,Сормовский,учитель,Педагогика,2,2024
Козлов Арсений Викторович,24,Красноярск,Свердловский,инженер,Data Science,1,2023
Тимофеев Алексей Сергеевич,26,Москва,Сокольники,экономист,Финансовый анализ,3,2022
Ильин Дмитрий Алексеевич,26,Челябинск,Тракторозаводский,учитель,Педагогика,2,2022
Козлов Дмитрий Алексеевич,28,Уфа,Калининский,юрист,Финансовый анализ,5,2020
Фёдоров Дмитрий Алексеевич,28,Новосибирск,Заельцовский,учитель,Педагогика,5,2020
Ковалёв Дмитрий Сергеевич,30,Уфа,Кировский,маркетолог,Цифровой маркетинг,6,2018
Козлов Дмитрий Павлович,30,Санкт-Петербург,Выборгский,маркетолог,Цифровой маркетинг,7,2018
Козлов Дмитрий Викторович,31,Самара,Куйбышевский,инженер,Data Science,7,2017
Козлов Сергей Владимирович,31,Нижний Новгород,Ленинский,экономист,Финансовый анализ,7,2018
Козлов Дмитрий Андреевич,33,Санкт-Петербург,Петроградский,дизайнер,Цифровой маркетинг,9,2015
Тимофеев Дмитрий Павлович,33,Красноярск,Ленинский,экономист,Финансовый анализ,9,2015
Козлов Дмитрий Сергеевич,35,Санкт-Петербург,Калининский,инженер,Data Science,8,2013
Козлов Дмитрий Андреевич,35,Самара,Куйбышевский,юрист,Финансовый анализ,5,2013
Захаров Дмитрий Алексеевич,37,Екатеринбург,Чкаловский,экономист,Финансовый анализ,12,2011
Захаров Дмитрий Андреевич,37,Нижний Новгород,Сормовский,юрист,Финансовый анализ,12,2012
Захаров Дмитрий Алексеевич,39,Новосибирск,Кировский,инженер,Data Science,15,2009
Захаров Дмитрий Сергеевич,39,Уфа,Калининский,бухгалтер,Финансовый анализ,15,2009
Ковалёв Дмитрий Сергеевич,40,Красноярск,Ленинский,юрист,Финансовый анализ,15,2008
Козлов Дмитрий Алексеевич,40,Москва,Крюково,бухгалтер,Финансовый анализ,17,2008
Белов Денис Викторович,42,Самара,Промышленный,дизайнер,Цифровой маркетинг,17,2006
Козлов Дмитрий Алексеевич,42,Казань,Ново-Савиновский,дизайнер,Цифровой маркетинг,18,2006
Волков Илья Геннадьевич,44,Новосибирск,Дзержинский,учитель,Педагогика,18,2004
Козлов Дмитрий Аркадьевич,44,Москва,Басманный,бухгалтер,Финансовый анализ,20,2005
Тимофеев Дмитрий Алексеевич,46,Уфа,Кировский,программист,Data Science,20,2003
Козлов Дмитрий Андреевич,46,Челябинск,Калининский,менеджер,HR-менеджмент,20,2002
Захаров Дмитрий Сергеевич,48,Казань,Советский,программист,Data Science,25,2000
Попов Денис Сергеевич,48,Новосибирск,Кировский,маркетолог,Цифровой маркетинг,22,2000
Козлов Дмитрий Викторович,49,Самара,Кировский,юрист,Психология,25,1999
Козлов Владимир Петрович,49,Казань,Кировский,программист,Data Science,25,1999
Козлов Дмитрий Аркадьевич,51,Екатеринбург,Чкаловский,дизайнер,Цифровой маркетинг,27,1997
Козлова Светлана Павловна,51,Москва,Тимирязевский,менеджер,Психология,26,1997
Ковалёв Илья Викторович,53,Екатеринбург,Чкаловский,программист,Data Science,28,1995
Новиков Дмитрий Сергеевич,53,Казань,Кировский,менеджер,Цифровой маркетинг,27,1995
Захаров Дмитрий Сергеевич,55,Красноярск,Ленинский,программист,Data Science,30,1993
Козлов Дмитрий Викторович,55,Челябинск,Калининский,маркетолог,Цифровой маркетинг,23,1993
Захаров Игорь Дмитриевич,57,Казань,Кировский,бухгалтер,Финансовый анализ,32,1991
Козлов Дмитрий Владимирович,57,Красноярск,Кировский,инженер,Финансовый анализ,30,1992
Назаров Владимир Петрович,58,Новосибирск,Заельцовский,менеджер,HR-менеджмент,35,1992
Ковалёв Виктор Степанович,58,Челябинск,Ленинский,бухгалтер,Финансовый анализ,35,1990
Козлов Иван Петрович,60,Нижний Новгород,Ленинский,маркетолог,Цифровой маркетинг,35,1988
Захаров Владимир Ильич,60,Челябинск,Тракторозаводский,дизайнер,Цифровой маркетинг,35,1988
Ковалёв Дмитрий Сергеевич,62,Уфа,Дёмский,экономист,Финансовый анализ,35,1987
Ковалёв Игорь Дмитриевич,62,Екатеринбург,Верх-Исетский,врач,Психология,35,1987
Захаров Виктор Петрович,64,Москва,Бабушкинский,врач,Психология,38,1985
Козлов Сергей Петрович,64,Самара,Куйбышевский,врач,Педагогика,38,1985
Фёдоров Илья Петрович,65,Санкт-Петербург,Красносельский,врач,Финансовый анализ,38,1986
Козлов Виктор Степанович,65,Санкт-Петербург,Красногвардейский,врач,Психология,38,1984
